;6perc/csv/6p_liquidSpecimen_RawData_4.csv;6perc/csv/6p_liquidSpecimen_RawData_7.csv;6perc/csv/6p_liquidSpecimen_RawData_9.csv;6perc/csv/6p_liquidSpecimen_RawData_8.csv;6perc/csv/6p_liquidSpecimen_RawData_3.csv;6perc/csv/6p_liquidSpecimen_RawData_1.csv;6perc/csv/6p_liquidSpecimen_RawData_6.csv;6perc/csv/6p_liquidSpecimen_RawData_2.csv;6perc/csv/6p_liquidSpecimen_RawData_5.csv;6perc/csv/6p_liquidSpecimen_RawData_10.csv
-0.3999999999999986;0.3880580808080808;0.41055383838383835;0.4055164646464646;0.4105895454545454;0.37598050505050506;0.36341469696969697;0.3901698484848485;0.37640297979797976;0.39589898989898986;0.4330716666666667
-0.3000000000000007;0.3871472727272727;0.4095954545454545;0.41420181818181817;0.41384666666666664;0.37366555555555553;0.3724827272727273;0.3901863636363636;0.3744581818181818;0.39212909090909087;0.4319233333333334
-0.2999999999999987;0.3866032323232323;0.40802853535353534;0.41364469696969697;0.4154483333333333;0.3731021666666666;0.3729334343434344;0.39380032828282824;0.37478752525252523;0.3929626515151515;0.43097625000000006
-0.2999999999999985;0.3860591919191919;0.40646161616161613;0.4130875757575757;0.41624916666666667;0.3725387777777778;0.37338414141414145;0.39741429292929287;0.37511686868686867;0.3937962121212121;0.4300291666666667
-0.20000000000000107;0.3849711111111111;0.4033277777777778;0.4119733333333333;0.41705000000000003;0.37197538888888887;0.37428555555555554;0.4046422222222222;0.37577555555555553;0.39546333333333333;0.4290820833333333
-0.1999999999999993;0.3860810925925926;0.4018854814814815;0.41208877777777775;0.41672611111111113;0.37141199999999996;0.37400762962962963;0.4024755185185185;0.3751211296296296;0.3937031111111111;0.428135
-0.19999999999999862;0.38719107407407405;0.4004431851851852;0.4122042222222222;0.41640222222222223;0.37380581818181813;0.3737297037037037;0.4003088148148148;0.37446670370370366;0.3919428888888889;0.4287176136363636
-0.1999999999999984;0.38830105555555555;0.3990008888888889;0.41231966666666664;0.41607833333333333;0.37619963636363635;0.37345177777777777;0.3981421111111111;0.37381227777777776;0.3901826666666667;0.42930022727272726
-0.10000000000000142;0.3899660277777778;0.39683744444444446;0.4124928333333333;0.4157544444444444;0.37859345454545457;0.3730348888888889;0.3948920555555555;0.3728306388888889;0.3875423333333333;0.4298828409090909
-0.09999999999999964;0.391631;0.394674;0.41266600000000003;0.4140135833333333;0.38098727272727273;0.372618;0.391642;0.371849;0.38490199999999997;0.43046545454545454
-0.09999999999999853;0.39050143181818187;0.3970002727272728;0.41212950000000004;0.4122727222222222;0.37939120454545455;0.36786986363636365;0.39406399999999997;0.37766606818181814;0.3860662727272727;0.43167584090909095
-0.09999999999999831;0.38937186363636367;0.3993265454545455;0.411593;0.4105318611111111;0.3777951363636364;0.3631217272727273;0.396486;0.38348313636363635;0.38723054545454544;0.4328862272727273
0.0;0.3871127272727273;0.4039790909090909;0.41052;0.408791;0.374603;0.3536254545454545;0.40132999999999996;0.3951172727272727;0.3895590909090909;0.435307
1.5543122344752192e-15;0.3874480454545455;0.40276331818181815;0.41329475;0.4132882272727273;0.37420175;0.35813884090909087;0.40075774999999997;0.39082845454545456;0.3917110681818182;0.435875
1.7763568394002505e-15;0.3877833636363636;0.4015475454545454;0.4160695;0.41553684090909093;0.3738005;0.3626522272727273;0.40018549999999997;0.38653963636363636;0.3938630454545455;0.436443
0.09999999999999964;0.38845399999999997;0.39911599999999997;0.421619;0.41778545454545457;0.372998;0.371679;0.399041;0.377962;0.39816700000000005;0.43757900000000005
0.10000000000000164;0.38628925;0.3997435;0.420692;0.4204977272727273;0.37640975;0.37061075;0.39742075;0.378302;0.39550150000000006;0.43690550000000006
0.10000000000000187;0.3841245;0.400371;0.419765;0.4218538636363636;0.37982150000000003;0.3695425;0.3958005;0.37864200000000003;0.392836;0.436232
0.1999999999999993;0.379795;0.401626;0.417911;0.42321;0.386645;0.367406;0.39255999999999996;0.379322;0.387505;0.43488499999999997
0.20000000000000173;0.3815015;0.40138399999999996;0.41884124999999994;0.4127965;0.38496625;0.36730075;0.39340025;0.37595725;0.38899675;0.4340768055555555
0.20000000000000195;0.383208;0.401142;0.41977149999999996;0.40758975000000003;0.3832875;0.3671955;0.3942405;0.3725925;0.3904885;0.4332686111111111
0.29999999999999893;0.386621;0.40065799999999996;0.42163199999999995;0.40238300000000005;0.38160875;0.366985;0.395921;0.365863;0.393472;0.4324604166666667
0.3000000000000007;0.38773398148148147;0.40329351851851847;0.42246759259259253;0.40222;0.37993;0.36613564814814814;0.39557250000000005;0.36662083333333334;0.3909562962962963;0.4316522222222222
0.3000000000000018;0.388846962962963;0.40592903703703703;0.42330318518518517;0.402057;0.38013474999999997;0.36528629629629633;0.395224;0.36737866666666663;0.38844059259259256;0.4310569166666667
0.30000000000000204;0.3899599444444445;0.40856455555555554;0.42413877777777775;0.401894;0.3803395;0.36443694444444447;0.39487550000000005;0.3681365;0.3859248888888889;0.4304616111111111
0.3999999999999986;0.39162941666666673;0.41251783333333336;0.4253921666666667;0.401731;0.38054425000000003;0.36316291666666667;0.39435275000000003;0.36927325;0.38215133333333334;0.4298663055555555
