	8perc/csv/8percA Specimen_RawData_1.csv	8perc/csv/8percA Specimen_RawData_2.csv	8perc/csv/8percA Specimen_RawData_3.csv	8perc/csv/8percA Specimen_RawData_4.csv	8perc/csv/8percA Specimen_RawData_5.csv	8perc/csv/8percA Specimen_RawData_6.csv	8perc/csv/8percB Specimen_RawData_1.csv	8perc/csv/8percB Specimen_RawData_2.csv	8perc/csv/8percB Specimen_RawData_3.csv	8perc/csv/8percB Specimen_RawData_4.csv	8perc/csv/8percB Specimen_RawData_5.csv	8perc/csv/8percB Specimen_RawData_6.csv
39.0	8.50752	8.14574		8.50496		8.23033			7.81542	8.61257		8.28617
39.099999999999994	8.54523	8.17972		8.56949					7.89729	8.66314		8.27551
39.2	8.61177	8.22253		8.65344		8.36265			7.97046	8.71801		8.35868
39.3	8.66938	8.27825		8.70134		8.4224			8.03601	8.754		8.40271
39.39999999999999	8.72916	8.34098		8.78171					8.10311			8.46597
39.5	8.78922	8.38908		8.80782		8.51707			8.17457	8.89847		8.52267
39.599999999999994	8.82786	8.43848		8.87759					8.23982	8.95048		8.56618
39.7	8.86417	8.50322		8.93842		8.62759			8.32572	9.0118		8.59231
39.8	8.93477	8.56668		9.01586		8.6601			8.39331	9.07552		8.64863
39.89999999999999	8.96381	8.62036		9.07415					8.44757			8.66352
40.0	8.98936	8.71111		9.1232		8.72151			8.52903	9.18517		8.65249
40.099999999999994	9.03403	8.75552		9.18808					8.57244	9.23155		8.64974
40.2	9.08024	8.80237		9.25313		8.78622			8.59844	9.27767		8.63968
40.3	9.0898	8.90096		9.27745		8.80684			8.63454	9.33244		8.63254
40.39999999999999	9.12257	8.94291		9.30496					8.66083			8.64677
40.5	9.15856	8.99124		9.3628		8.89008			8.68974	9.36318		8.6525
40.599999999999994	9.1995	9.05158		9.41127					8.70523	9.3944		8.63552
40.7	9.22439	9.11049		9.43505		8.93437			8.70648	9.37199		8.64753
40.8	9.23907	9.16048		9.47034		8.9595			8.70821	9.35053		8.64529
40.89999999999999	9.26771	9.21253		9.45419					8.70315			8.66171
41.0	9.26748	9.23659		9.45965		8.9746			8.6677	9.26102		8.6857
41.099999999999994	9.28048	9.26036		9.454					8.68065	9.18706		8.7042
41.2	9.31491	9.27961		9.4293		9.01849			8.63797	9.12987		8.77409
41.3	9.32994	9.25817		9.36764		9.02069			8.64528	9.10858		8.79859
41.39999999999999	9.32259	9.32985		9.32293					8.64578			8.8262
41.5	9.35662	9.34166		9.25995		9.04694			8.6286	9.00048		8.88314
41.599999999999994	9.33959	9.33252		9.1876					8.6138	8.97898		8.91971
41.7	9.35039	9.33627		9.13934		9.05975			8.58915	8.93416		8.96368
41.8	9.35018	9.29148		9.05739		9.04414			8.58035	8.88651		9.00264
41.89999999999999	9.35474	9.28855		9.03361					8.58124			9.07421
42.0	9.32897	9.25934		8.97508		9.03942			8.59407	8.82207		9.05485
42.099999999999994	9.35033	9.22659		8.95886					8.59545	8.83039		9.09115
42.2	9.33638	9.18152		8.86987		8.99174			8.62884	8.82851		9.11746
42.3	9.28539	9.15964		8.81862		8.99735			8.63556	8.83494		9.15421
42.39999999999999	9.28382	9.14576		8.78927					8.61449			9.23179
42.5	9.27934	9.12204		8.76517		8.97389			8.64198	8.84395		9.20627
42.599999999999994	9.27698	9.10926		8.75325					8.68247	8.88481		9.25347
42.7	9.24643	9.12443		8.70967		8.96101			8.71747	8.92148		9.28611
42.8	9.22219	9.11636		8.69104		8.98376			8.71245	8.96223		9.32889
42.89999999999999	9.20987	9.11937		8.69449					8.78204			9.34986
43.0	9.18966	9.12308		8.69256		9.01329			8.80767	9.06629		9.38424
43.099999999999994	9.18469	9.11442		8.70919					8.82334	9.15097		9.43135
43.2	9.18556	9.11073		8.74548		9.11345			8.8679	9.19852		9.48031
43.3	9.18158	9.12712		8.79072		9.15923			8.85942	9.29418		9.4754
43.39999999999999	9.17871	9.15385		8.82462					8.90542			9.52147
43.5	9.20066	9.18542		8.8799		9.27746			8.94803	9.4267		9.51253
43.599999999999994	9.21349	9.19718		8.94667					8.98427	9.51415		9.5661
43.7	9.27637	9.20828		9.00121		9.40938			8.93474	9.57736		9.57206
43.8	9.30802	9.22964		9.07529					8.9607	9.6535		9.5957
1.5		0.41762			0.42918		0.45626		0.4619			
2.1000000000000014		0.42509			0.43947		0.46502		0.46522			
32.900000000000006		6.65601				6.37135			6.15085			
33.400000000000006		6.4074				5.75082			6.31419	6.72383		
33.900000000000006		6.69816				6.3088			6.28273	6.99256		
43.89999999999999		9.27927							8.98464			
44.0		9.32538							8.98729	9.76023		
44.099999999999994		9.36516							9.0309			
44.2		9.40019							9.05257			
44.3		9.41558							9.08239			
44.39999999999999		9.49055							9.11763			
44.5		9.51375							9.14276			
44.599999999999994		9.57306							9.19715			
44.7		9.63966							9.24661			
44.8		9.67972							9.2764			
44.89999999999999		9.74868							9.32175			
45.0		9.81893							9.36771			
45.099999999999994		9.86432							9.43874			
45.2		9.91364							9.47674			
45.3		9.97577							9.51657			
-1.0999999999999979			0.42922					0.44355				
-0.7999999999999972			0.43189					0.43897				
-0.5			0.42209					0.45057				
-0.1999999999999993			0.42452					0.45542				
0.10000000000000142			0.43469					0.44452				
0.40000000000000213			0.41307					0.4596				
0.7000000000000028			0.43976					0.43126				
1.0			0.41824					0.44986				
1.3000000000000043			0.42058					0.46552				
1.6000000000000014			0.41859					0.4405				
1.8999999999999986			0.4154					0.45734				
2.200000000000003			0.40544					0.46037				
2.5			0.42328					0.46417				
2.8000000000000043			0.42556					0.45128				
3.1000000000000014			0.43136					0.45044				
3.3999999999999986			0.41482					0.45746				
3.700000000000003			0.41738					0.45407				
4.0			0.43228					0.4662				
4.300000000000004			0.41911					0.44756				
4.600000000000001			0.42638					0.45548				
4.899999999999999			0.42781					0.44593				
5.200000000000003			0.42543					0.45566				
5.5			0.43482					0.44813				
5.800000000000004			0.42447					0.45208				
6.100000000000001			0.40134					0.44387				
6.399999999999999			0.41101					0.43583				
6.700000000000003			0.41958					0.45253				
7.0			0.42315					0.44028				
7.300000000000004			0.42243					0.46676				
7.600000000000001			0.40826					0.45816				
7.899999999999999			0.419					0.43826				
8.200000000000003			0.42951					0.45393				
8.5			0.43261					0.45125				
8.800000000000004			0.42572					0.46395				
9.100000000000001			0.41291					0.45892				
9.399999999999999			0.43802					0.45141				
9.700000000000003			0.42127					0.45328				
10.0			0.43057					0.44021				
10.300000000000004			0.43222					0.4756				
10.600000000000001			0.41312					0.46577				
10.899999999999999			0.42104					0.45386				
11.200000000000003			0.4222					0.45481				
11.5			0.42237					0.45943				
11.800000000000004			0.41509					0.44564				
12.100000000000001			0.41634					0.45687				
12.399999999999999			0.42546					0.44376				
12.700000000000003			0.42461					0.47149				
13.0			0.44698					0.43815				
13.300000000000004			0.43182					0.45956				
13.600000000000001			0.43153					0.44581				
13.899999999999999			0.42971					0.45355				
14.200000000000003			0.43315					0.4581				
14.5			0.42746					0.43962				
14.800000000000004			0.42516					0.45401				
15.100000000000001			0.42346					0.45152				
15.399999999999999			0.43025					0.44963				
15.700000000000003			0.42845					0.4569				
16.0			0.42455					0.44464				
16.300000000000004			0.42907					0.46095				
16.6			0.43579					0.45057				
16.9			0.4343					0.44548				
17.200000000000003			0.42044					0.45711				
17.5			0.41524					0.45569				
17.800000000000004			0.43992					0.45657				
18.1			0.42699					0.4666				
18.4			0.43135					0.45363				
18.700000000000003			0.44034					0.45113				
19.0			0.43124					0.44005				
19.300000000000004			0.42227					0.46038				
19.6			0.42787					0.473				
19.9			0.42778					0.46111				
20.200000000000003			0.40489					0.46357				
20.5			0.4172					0.45857				
20.800000000000004			0.42363					0.43553				
21.1			0.43997					0.46676				
21.4			0.42401					0.44592				
21.700000000000003			0.42796					0.44132				
22.0			0.43319					0.46442				
22.300000000000004			0.43358					0.45645				
22.6			0.44331					0.44716				
22.9			0.44258					0.47316				
23.200000000000003			0.42259					0.44676				
23.5			0.42995					0.47414				
23.800000000000004			0.42855					0.45984				
24.1			0.42294					0.4677				
24.4			0.44597					0.45403				
24.700000000000003			0.41395					0.4517				
25.0			0.43548					0.44805				
25.300000000000004			0.43462					0.46401				
25.6			0.42814					0.45066				
25.9			0.43186					0.46935				
26.200000000000003			0.4284					0.43997				
26.5			0.43101					0.45442				
26.800000000000004			0.42865					0.46353				
27.1			0.43951					0.44167				
27.4			0.42981					0.45139				
27.700000000000003			0.43139					0.47045				
28.0			0.42491					0.46406				
28.300000000000004			0.442					0.45391				
28.6			0.43183					0.45406			0.46555	
28.700000000000003			0.43836					0.4803		0.45241		
28.800000000000004			0.43958		0.44224		0.44305	0.45602				
28.9			0.42807					0.46055			0.47987	
29.0			0.43904					0.44408		0.48516499999999996	0.4631	
29.1			0.4357		0.45443		0.44595	0.45241		0.46949	0.48863	
29.200000000000003			0.42343		0.42414		0.4485	0.45663		0.47589		
29.300000000000004			0.43386		0.44402		0.46017	0.47096				
29.4			0.43139		0.43385		0.44627	0.46608		0.47972	0.46502	
29.5			0.42004		0.4396		0.45842	0.45474		0.45989	0.46704	
29.6			0.42776		0.4422		0.45434	0.45343		0.50896	0.47343	
29.700000000000003			0.41088		0.43456		0.4371	0.4614		0.60022		
29.800000000000004			0.483		0.46353		0.59537	0.68225				
29.9			0.77829		0.45781		0.85644	0.86592		0.95931	0.69387	
30.0			1.23194		1.0158		1.1573	1.0697		1.22605	1.05236	
30.1			1.73567		3.53671		1.52102	2.02799		1.5685	1.41422	
30.200000000000003			2.99373		5.64957		1.87457	3.9506		2.26965		
30.300000000000004			5.71552		6.94567		2.21096	5.05292				
30.4			7.11044		7.58284		2.56939	6.07705		5.49296	5.98804	
30.5			7.73939		7.7061		2.95717	7.06875		6.91289	6.94496	
30.6			7.98554		7.512		3.43819	7.85862		7.93274	7.4106	
30.700000000000003			8.00186		7.49214		5.29848	8.22243		8.45151		
30.800000000000004			7.93226		7.35485		7.11675	8.33921				
30.9			7.90544		7.27346		8.21902	8.24572		8.34843	8.37281	
31.0			7.84837		7.18445		8.74761	8.06266		8.10564	8.11167	
31.1			7.79066		7.16159		8.74128	7.8352		7.9408	7.90138	
31.200000000000003			7.74617		7.13329		8.59695	7.7196		7.81695		
31.300000000000004			7.67256		7.06872		8.40789	7.59236				
31.4			7.63175		7.02657		8.25072	7.49467		7.48422	7.55795	
31.5			7.52656		6.98839		8.10104	7.36349		6.89269	7.47534	
