;lard/csv/oilSpecimen_RawData_1.csv;lard/csv/oilSpecimen_RawData_4.csv;lard/csv/oilSpecimen_RawData_8.csv;lard/csv/oilSpecimen_RawData_5.csv;lard/csv/oilSpecimen_RawData_3.csv;lard/csv/oilSpecimen_RawData_9.csv;lard/csv/oilSpecimen_RawData_6.csv;lard/csv/oilSpecimen_RawData_7.csv;lard/csv/oilSpecimen_RawData_2.csv;lard/csv/oilSpecimen_RawData_10.csv
-1.7199999999999989;0.4285;0.45782;0.48372499999999996;0.46991;0.45543999999999996;0.47827;0.46792999999999996;0.4895933333333333;0.456905;0.50094
-1.7100000000000009;0.427555;0.46082999999999996;0.48024;0.46429;0.4548;0.47581;0.4659;0.48808666666666667;0.45595;0.50022
-1.709999999999999;0.42661;0.46384;0.478;0.463715;0.454725;0.477375;0.46384000000000003;0.48658;0.45632500000000004;0.4995
-1.700000000000001;0.4289075;0.46565;0.47576;0.46314;0.45464999999999994;0.47894;0.46178;0.485765;0.4567;0.49854750000000003
-1.6999999999999997;0.431205;0.46746;0.481695;0.46186;0.45457499999999995;0.48255499999999996;0.461665;0.48495;0.457075;0.497595
-1.6999999999999993;0.4358;0.47108;0.4846625;0.46121999999999996;0.45435;0.4843625;0.4616266666666667;0.48332;0.4582;0.49569
-1.6900000000000013;0.43757500000000005;0.47311000000000003;0.48763;0.46058;0.45298499999999997;0.48617;0.4615883333333333;0.48201000000000005;0.45794;0.49470000000000003
-1.6899999999999995;0.43935;0.47514;0.4900466666666667;0.4612633333333333;0.45162;0.491275;0.46155;0.4807;0.45768;0.49371
-1.6800000000000015;0.44111;0.47415;0.4924633333333333;0.46194666666666667;0.451545;0.49638;0.46167;0.479665;0.45409;0.49246999999999996
-1.6799999999999997;0.44287;0.47316;0.49488;0.46263;0.45147;0.501375;0.46179;0.47863;0.4505;0.49123
-1.67;0.448;0.46733;0.49054;0.4647;0.45018;0.50637;0.46513;0.47921;0.44267;0.49048
-1.6600000000000001;0.44876;0.46131;0.48721;0.46264;0.44981;0.51361;0.46986;0.48363;0.44164;0.49281
-1.6500000000000004;0.44886000000000004;0.45660999999999996;0.48993;0.46234;0.45241;0.50612;0.47123;0.48136;0.43808;0.495325
