;8perc/csv/8percB Specimen_RawData_5.csv;8perc/csv/8percA Specimen_RawData_4.csv;8perc/csv/8percB Specimen_RawData_4.csv;8perc/csv/8percB Specimen_RawData_1.csv;8perc/csv/8percA Specimen_RawData_6.csv;8perc/csv/8percB Specimen_RawData_2.csv;8perc/csv/8percA Specimen_RawData_3.csv;8perc/csv/8percB Specimen_RawData_6.csv;8perc/csv/8percA Specimen_RawData_5.csv;8perc/csv/8percA Specimen_RawData_2.csv;8perc/csv/8percB Specimen_RawData_3.csv;8perc/csv/8percA Specimen_RawData_1.csv
-0.0999999999999992;0.47027874999999997;0.424385;0.46717999999999993;0.447559375;0.42147875;0.452695;0.4270625;0.47085699999999997;0.41944500000000007;;;0.396608
-0.09999999999999898;0.468715;0.4249175;0.46776999999999996;0.44831375;0.421101875;0.45215;0.42757100000000003;0.4712775;0.42033000000000004;;;0.39731000000000005
-2.220446049250313e-16;0.467464;0.42545;0.46836;0.44906812500000004;0.420725;0.451605;0.4280795;0.471698;0.421215;;;0.39801200000000003
-1.1102230246251565e-16;0.466213;0.426515;0.46895;0.4498225;0.4204235;0.45106;0.428588;0.47253900000000004;0.42210000000000003;;;0.399416
0.0;0.464962;0.42758;0.46934333333333333;0.45284;0.420122;0.450515;0.4290965;0.47338;0.42564;;;0.40082
8.881784197001252e-16;0.463711;0.426454375;0.46973666666666664;0.451585;0.41982050000000004;0.44997;0.429605;0.47361625;0.4255415;;;0.40013375
1.1102230246251565e-15;0.46246;0.42532875000000003;0.47013;0.45033;0.41951900000000003;0.44942499999999996;0.43011350000000004;0.4738525;0.425443;;;0.3994475
0.09999999999999964;0.461209;0.424203125;0.47052333333333335;0.449075;0.4192175;0.44888;0.430622;0.47408875;0.4253445;;;0.39876125
0.09999999999999976;0.459958;0.4230775;0.47091666666666665;0.44782;0.41896625000000004;0.448335;0.4311305;0.474325;0.425246;;;0.398075
0.09999999999999987;0.45870700000000003;0.42232708333333335;0.47131;0.446565;0.418715;0.44779;0.431639;0.4744825;0.4251475;;;0.3976175
0.10000000000000098;0.45745600000000003;0.42157666666666666;0.4719;0.4456685714285714;0.41846375;0.447245;0.4321475;0.47464;0.4250771428571429;;;0.39716
0.1000000000000012;0.456205;0.42082625;0.47248999999999997;0.44477214285714284;0.41821250000000004;0.4458825;0.43341875;0.4747975;0.42500678571428574;;;0.3967025
0.10000000000000142;0.4530775;0.42007583333333337;0.47308;0.44387571428571426;0.41796125;0.44452;0.43469;0.47495499999999996;0.4249364285714286;;;0.396245
0.1999999999999993;0.44995;0.4193254166666667;0.47367;0.44297928571428574;0.41771;0.445274;0.433609;0.4751125;0.4248660714285714;;;0.3957875
0.19999999999999962;0.4518375;0.41857500000000003;0.47404199999999996;0.44208285714285717;0.419137;0.44602800000000004;0.432528;0.47526999999999997;0.4247957142857143;;;0.39533
0.19999999999999973;0.453725;0.4176745;0.474414;0.4411864285714286;0.420564;0.446782;0.431447;0.47545899999999996;0.42472535714285714;;;0.394781
0.19999999999999984;0.45561250000000003;0.41677400000000003;0.474786;0.44029;0.4211348;0.44753600000000004;0.430366;0.47564799999999996;0.424655;;;0.394232
0.20000000000000107;0.4575;0.4158735;0.47506499999999996;0.43872125;0.4217056;0.44829;0.429285;0.475837;0.424531875;;;0.393683
0.2000000000000013;0.4593875;0.41497300000000004;0.475344;0.43715250000000005;0.4222764;0.449044;0.42820400000000003;0.476026;0.42440875;;;0.39313400000000004
0.2999999999999997;0.461275;0.4140725;0.475623;0.43558375000000005;0.42284720000000003;0.44979800000000003;0.42712300000000003;0.476215;0.424285625;;;0.392585
0.2999999999999998;0.46316250000000003;0.41182125;0.475902;0.43401500000000004;0.423418;0.450552;0.42604200000000003;0.4766875;0.4241625;;;0.3912125
0.3000000000000007;0.46505;0.40957;0.47618099999999997;0.42774;0.4241315;0.45130600000000004;0.42496100000000003;0.47716;0.42367;;;0.38984
0.30000000000000115;0.46693750000000006;0.410753125;0.47646;0.42865875;0.42484500000000003;0.45206;0.42388000000000003;0.47669625;0.42451375;;;0.3893975
0.3000000000000014;0.46882500000000005;0.41193625;0.476739;0.4295775;0.4255585;0.45300250000000003;0.42252875;0.47623249999999995;0.4253575;;;0.38895500000000005
0.3999999999999997;0.47118437500000004;0.413119375;0.477018;0.43049625;0.426272;0.45394500000000004;0.4211775;0.47576874999999996;0.42620125;;;0.38851250000000004
0.3999999999999998;0.47354375000000004;0.4143025;0.4771774285714286;0.431415;0.42684279999999997;0.4548875;0.41982625;0.475305;0.427045;;;0.38807
0.40000000000000124;0.47590312500000004;0.41524900000000003;0.4773368571428571;0.43215;0.4274136;0.45583;0.418475;0.47493399999999997;0.42772;;;0.387716
0.40000000000000147;0.47826250000000003;0.4161955;0.4774962857142857;0.43288499999999996;0.4279844;0.457715;0.4157725;0.47456299999999996;0.428395;;;0.387362
0.40000000000000213;0.48015;0.417142;0.4776557142857143;0.43362;0.4285552;0.4596;0.41307;0.474192;0.42907;;;0.387008
0.49999999999999956;0.4820375;0.4180885;0.4778151428571429;0.434355;0.429126;0.458183;0.4144045;0.473821;0.42974500000000004;;;0.386654
0.49999999999999967;0.48392500000000005;0.419035;0.4779745714285714;0.43509;0.4300773333333333;0.456766;0.415739;0.47345;0.43042;;;0.3863
0.4999999999999998;0.48581250000000004;0.4199815;0.478134;0.435615;0.43102866666666667;0.455349;0.4170735;0.47307899999999997;0.4309021428571429;;;0.38594599999999996
