;2perc/csv/2percA Specimen_RawData_3.csv;2perc/csv/2percB Specimen_RawData_5.csv;2perc/csv/2percB Specimen_RawData_4.csv;2perc/csv/2percA Specimen_RawData_1.csv;2perc/csv/2percB Specimen_RawData_3.csv;2perc/csv/2percB Specimen_RawData_1.csv;2perc/csv/2percA Specimen_RawData_2.csv;2perc/csv/2percB Specimen_RawData_2.csv;2perc/csv/2percB Specimen_RawData_6.csv
-1.5;-0.01415;-0.026434642857142854;-0.009795714285714286;0.003467857142857142;-0.026424166666666665;-0.03486142857142857;-0.024609;-0.02571625;-0.028356
-1.4999999999999996;-0.01451625;-0.026834999999999998;-0.009927142857142858;0.0041310714285714275;-0.023888333333333334;-0.03485928571428572;-0.024223500000000002;-0.026769374999999998;-0.027749
-1.4999999999999991;-0.0148825;-0.027395499999999996;-0.01005857142857143;0.004794285714285713;-0.0213525;-0.03485714285714286;-0.023838;-0.0278225;-0.027142
-1.4999999999999987;-0.01524875;-0.027955999999999998;-0.010190000000000001;0.005457499999999999;-0.019831;-0.034855000000000004;-0.0234525;-0.028665;-0.026535
-1.4999999999999982;-0.015615;-0.028516499999999997;-0.01065;0.006385999999999999;-0.0183095;-0.034847500000000003;-0.023067;-0.0295075;-0.025928
-1.4000000000000021;-0.015908;-0.029077;-0.01111;0.007314499999999999;-0.016788;-0.03484;-0.0226815;-0.030350000000000002;-0.025321
-1.3999999999999995;-0.016201;-0.029637499999999997;-0.012104166666666668;0.008243;-0.0152665;-0.034037500000000005;-0.022296000000000003;-0.0311925;-0.024714
-1.399999999999999;-0.016493999999999998;-0.030338124999999997;-0.013098333333333333;0.009171499999999999;-0.013745;-0.033235;-0.021910500000000003;-0.032035;-0.024107
-1.3999999999999986;-0.016787;-0.031038749999999997;-0.0140925;0.0101;-0.0122235;-0.0324325;-0.021525000000000002;-0.032877500000000004;-0.0235
-1.3999999999999981;-0.017079999999999998;-0.031739375;-0.014689;0.008945999999999999;-0.010702;-0.031951;-0.021139500000000002;-0.03372;-0.022893
-1.3000000000000043;-0.017373;-0.03244;-0.0152855;0.0077919999999999994;-0.009180500000000001;-0.031469500000000004;-0.020754;-0.0345625;-0.022286
-1.2999999999999994;-0.017665999999999998;-0.0324075;-0.015882;0.006638;-0.007659000000000001;-0.030988;-0.0203685;-0.035405;-0.021679
-1.299999999999999;-0.017959;-0.03240208333333333;-0.0164785;0.005483999999999999;-0.006137500000000001;-0.030506500000000002;-0.019983;-0.0362475;-0.021072
-1.2999999999999985;-0.018251999999999997;-0.032396666666666664;-0.017075;0.00433;-0.004235625000000001;-0.030025000000000003;-0.0195975;-0.03765166666666667;-0.020465
-1.299999999999998;-0.018545;-0.032391249999999996;-0.017572083333333332;0.003368333333333333;-0.0023337500000000003;-0.029623750000000004;-0.01863375;-0.03905583333333334;-0.0189475
-1.2999999999999972;-0.0192775;-0.032385833333333336;-0.018069166666666667;0.0024066666666666663;-0.00043187499999999997;-0.029222500000000002;-0.01767;-0.04046;-0.01743
-1.2000000000000028;-0.02001;-0.03238041666666667;-0.01856625;0.0014449999999999997;0.00147;-0.02882125;-0.017969166666666668;-0.038520000000000006;-0.0180825
-1.1999999999999993;-0.019729375;-0.032375;-0.01906333333333333;0.000483333333333333;-0.00041624999999999995;-0.02842;-0.018268333333333334;-0.03658;-0.018735
-1.1999999999999988;-0.01944875;-0.0323685;-0.019560416666666667;-0.0004783333333333332;-0.0023025;-0.028018750000000002;-0.0185675;-0.034640000000000004;-0.019387500000000002
-1.1999999999999984;-0.019168125;-0.032362;-0.0200575;-0.0014400000000000003;-0.003057;-0.0276175;-0.018866666666666667;-0.033476000000000006;-0.020040000000000002
-1.199999999999998;-0.0188875;-0.032355499999999995;-0.02154875;-0.004325000000000001;-0.0038115;-0.02641375;-0.019106;-0.032312;-0.020562
-1.1000000000000014;-0.018663000000000003;-0.032348999999999996;-0.02304;-0.00721;-0.004566;-0.02521;-0.019345333333333336;-0.031148000000000002;-0.021084000000000002
-1.0999999999999992;-0.0184385;-0.032342499999999996;-0.022568333333333336;-0.007160666666666667;-0.0053205;-0.02694;-0.019584666666666667;-0.029984000000000004;-0.021606
-1.0999999999999988;-0.018214;-0.032334375;-0.022096666666666667;-0.007111333333333334;-0.006075;-0.02867;-0.019824;-0.028820000000000002;-0.022128000000000002
-1.0999999999999983;-0.0179895;-0.03232625;-0.021625000000000002;-0.007062000000000001;-0.00670375;-0.0304;-0.020063333333333336;-0.02785;-0.02265
-1.0999999999999979;-0.017765;-0.032318124999999996;-0.021389166666666667;-0.007037333333333334;-0.0073325;-0.031265;-0.020462222222222225;-0.02688;-0.02352
-1.0000000000000036;-0.017577916666666665;-0.03231;-0.021153333333333333;-0.007012666666666667;-0.00796125;-0.03213;-0.02086111111111111;-0.025910000000000002;-0.024390000000000002
-1.0;-0.017390833333333335;-0.030862499999999998;-0.0209175;-0.006988;-0.008589999999999999;-0.032995;-0.02126;-0.02494;-0.02526
-0.9999999999999991;-0.01720375;-0.029414999999999997;-0.020681666666666668;-0.0069633333333333335;-0.00921875;-0.03386;-0.021174000000000002;-0.023969999999999998;-0.024948666666666668
-0.9999999999999987;-0.017016666666666666;-0.028932499999999996;-0.020445833333333333;-0.006938666666666667;-0.009847499999999999;-0.034725;-0.021088;-0.023;-0.024637333333333334
-0.9999999999999982;-0.016829583333333335;-0.028449999999999996;-0.02021;-0.006914;-0.010790624999999998;-0.03559;-0.021002;-0.02106;-0.024326
-0.9999999999999978;-0.0166425;-0.0279675;-0.019974166666666664;-0.006889333333333333;-0.01173375;-0.036454999999999994;-0.020959;-0.01912;-0.024170333333333335
-0.9999999999999964;-0.016361875;-0.027485;-0.019738333333333333;-0.0068646666666666665;-0.012676875;-0.03732;-0.020916;-0.01718;-0.024014666666666667
-0.9000000000000021;-0.016081250000000002;-0.0270025;-0.0195025;-0.006840000000000001;-0.01362;-0.038185;-0.020873000000000003;-0.0170825;-0.023858999999999998
-0.899999999999999;-0.015800625000000002;-0.02652;-0.019266666666666665;-0.006815333333333334;-0.01523375;-0.039049999999999994;-0.02083;-0.016985;-0.023703333333333333
-0.8999999999999986;-0.01552;-0.025941;-0.019030833333333334;-0.006790666666666667;-0.0168475;-0.039915;-0.020787;-0.0168875;-0.023547666666666668
-0.8999999999999981;-0.01773125;-0.025362;-0.018795;-0.006766;-0.017493;-0.04078;-0.020744000000000002;-0.016829;-0.023392
-0.8999999999999977;-0.019942500000000002;-0.024783;-0.0180875;-0.0067364;-0.018138500000000002;-0.043375;-0.020692400000000003;-0.0167705;-0.0232052
-0.8000000000000043;-0.020827000000000002;-0.024204;-0.01738;-0.0067068;-0.018784000000000002;-0.04597;-0.0206408;-0.016711999999999998;-0.023018399999999998
-0.7999999999999989;-0.0217115;-0.023625;-0.0179425;-0.0066772;-0.019429500000000002;-0.044129166666666664;-0.020589200000000002;-0.016653499999999998;-0.0228316
-0.7999999999999985;-0.022596000000000005;-0.023046;-0.018505;-0.0066476;-0.020075000000000003;-0.04228833333333333;-0.0205376;-0.016595;-0.0226448
-0.799999999999998;-0.023480500000000005;-0.022467;-0.0190675;-0.006618;-0.02061291666666667;-0.0404475;-0.020486;-0.01654625;-0.022458
-0.7999999999999976;-0.024365000000000005;-0.021887999999999998;-0.01934875;-0.0065439999999999995;-0.021150833333333334;-0.03952708333333333;-0.020443000000000003;-0.0164975;-0.022302333333333334
-0.7999999999999972;-0.025102083333333337;-0.021308999999999998;-0.01963;-0.00647;-0.02168875;-0.038606666666666664;-0.0204;-0.016448749999999998;-0.022146666666666665
-0.7000000000000028;-0.02583916666666667;-0.02073;-0.01991125;-0.0076075;-0.02222666666666667;-0.03768625;-0.020357;-0.0164;-0.021991
-0.6999999999999988;-0.026576250000000003;-0.024072499999999997;-0.0201925;-0.008745;-0.022764583333333335;-0.03676583333333333;-0.020314000000000002;-0.01635125;-0.021835333333333335
-0.6999999999999984;-0.02731333333333334;-0.02462958333333333;-0.02047375;-0.009882499999999999;-0.0233025;-0.035845416666666664;-0.020271000000000004;-0.0163025;-0.021679666666666667
-0.699999999999998;-0.02805041666666667;-0.025186666666666663;-0.020755;-0.011019999999999999;-0.024109375000000002;-0.034925;-0.020228000000000003;-0.016205;-0.021524
-0.6999999999999975;-0.028787500000000004;-0.025743749999999996;-0.02103625;-0.011778333333333332;-0.02491625;-0.03400458333333333;-0.020099000000000002;-0.0161075;-0.021057
-0.6999999999999957;-0.030998750000000005;-0.026300833333333332;-0.0213175;-0.012536666666666665;-0.025723125;-0.033084166666666665;-0.01997;-0.01601;-0.02059
-0.6000000000000014;-0.03321;-0.026857916666666665;-0.02159875;-0.013294999999999998;-0.02653;-0.03216375;-0.019396666666666666;-0.014892222222222222;-0.021333333333333336
-0.5999999999999988;-0.032171250000000005;-0.027415;-0.021879999999999997;-0.014053333333333333;-0.02675875;-0.03124333333333333;-0.018823333333333334;-0.013774444444444445;-0.022076666666666668
-0.5999999999999983;-0.031132500000000004;-0.028083499999999997;-0.022161249999999997;-0.014811666666666666;-0.0269875;-0.030322916666666665;-0.018250000000000002;-0.012656666666666667;-0.02282
-0.5999999999999979;-0.030093750000000002;-0.028752;-0.022442499999999997;-0.015569999999999999;-0.027079000000000002;-0.029402499999999998;-0.017676666666666667;-0.011986;-0.023563333333333335
-0.5999999999999974;-0.029055000000000004;-0.0294205;-0.023286249999999998;-0.017845;-0.0271705;-0.02664125;-0.017218;-0.011315333333333333;-0.024158000000000002
-0.5;-0.028224000000000003;-0.030089;-0.02413;-0.02012;-0.027262;-0.02388;-0.016759333333333334;-0.010644666666666667;-0.02475266666666667
-0.49999999999999867;-0.027393000000000004;-0.0307575;-0.02451333333333333;-0.0177975;-0.0273535;-0.025638333333333332;-0.016300666666666665;-0.009974;-0.025347333333333333
-0.4999999999999982;-0.026562000000000002;-0.031593125;-0.024896666666666664;-0.015475;-0.027445;-0.027396666666666666;-0.015842;-0.009303333333333334;-0.025942
-0.4999999999999978;-0.025731000000000004;-0.03242875;-0.025279999999999997;-0.0131525;-0.027536500000000002;-0.029155;-0.015383333333333332;-0.008465;-0.026536666666666667
-0.49999999999999734;-0.024900000000000002;-0.033264375;-0.025509999999999998;-0.011758999999999999;-0.027628;-0.03021;-0.014618888888888888;-0.007626666666666667;-0.02752777777777778
-0.40000000000000213;-0.024069;-0.0341;-0.02574;-0.0103655;-0.0277195;-0.031265;-0.013854444444444444;-0.006788333333333334;-0.02851888888888889
-0.3999999999999986;-0.023238;-0.035832499999999996;-0.025969999999999997;-0.008971999999999999;-0.027811;-0.03232;-0.01309;-0.00595;-0.02951
-0.39999999999999813;-0.022407;-0.036178999999999996;-0.026199999999999998;-0.007578499999999999;-0.0279025;-0.033375;-0.01328625;-0.012214000000000001;-0.029241250000000003
-0.3999999999999977;-0.021576;-0.036525499999999995;-0.02643;-0.0061849999999999995;-0.028055;-0.03443;-0.0134825;-0.013466800000000001;-0.0289725
-0.39999999999999725;-0.020745;-0.036872;-0.02666;-0.0047915;-0.0282075;-0.035485;-0.013561;-0.014719600000000001;-0.028865000000000002
-0.30000000000000426;-0.01659;-0.0372185;-0.02689;-0.0033980000000000004;-0.02836;-0.03654;-0.013639499999999999;-0.0159724;-0.028757500000000002
-0.2999999999999985;-0.016293125;-0.037565;-0.02712;-0.002004500000000001;-0.02943125;-0.037594999999999996;-0.013718;-0.017225200000000003;-0.028650000000000002
-0.29999999999999805;-0.01599625;-0.0379115;-0.02735;-0.0006110000000000013;-0.0305025;-0.03865;-0.013796499999999998;-0.018478;-0.028542500000000002
-0.2999999999999976;-0.015699375;-0.038258;-0.02758;0.0007824999999999985;-0.030931;-0.039705;-0.013874999999999998;-0.019730800000000003;-0.028435000000000002
-0.29999999999999716;-0.0154025;-0.0386045;-0.028155;0.004266249999999999;-0.0313595;-0.0423425;-0.013953499999999999;-0.0209836;-0.028327500000000002
-0.20000000000000284;-0.015165;-0.038951;-0.02873;0.00775;-0.031788;-0.04498;-0.014032;-0.022236400000000003;-0.028220000000000002
-0.1999999999999984;-0.0149275;-0.0392975;-0.027516666666666665;0.0068625;-0.0322165;-0.04469583333333333;-0.014110499999999998;-0.023489200000000002;-0.0281125
-0.19999999999999796;-0.01469;-0.039730625;-0.02630333333333333;0.005975;-0.032645;-0.04441166666666667;-0.014188999999999998;-0.024742000000000004;-0.028005
-0.1999999999999975;-0.0144525;-0.04016375;-0.025089999999999998;0.0050875;-0.0330735;-0.0441275;-0.014267499999999999;-0.025994800000000002;-0.0278975
-0.19999999999999707;-0.014215;-0.040596875;-0.024361999999999998;0.004555;-0.033502;-0.043957;-0.01446375;-0.027247600000000004;-0.02762875
-0.10000000000000142;-0.0139775;-0.04103;-0.023634;0.0040225;-0.0339305;-0.0437865;-0.01466;-0.028500400000000002;-0.02736
