;lard/csv/margarinSpecimen_RawData_8.csv;lard/csv/margarinSpecimen_RawData_7.csv;lard/csv/margarinSpecimen_RawData_2.csv;lard/csv/margarinSpecimen_RawData_5.csv;lard/csv/margarinSpecimen_RawData_6.csv;lard/csv/margarinSpecimen_RawData_1.csv;lard/csv/margarinSpecimen_RawData_4.csv;lard/csv/margarinSpecimen_RawData_10.csv;lard/csv/margarinSpecimen_RawData_9.csv;lard/csv/margarinSpecimen_RawData_3.csv
-0.7800000000000011;0.24951;0.23565333333333333;0.17407333333333333;0.21802;0.23118;0.18062333333333333;0.200855;0.2566;0.2474;0.196455
-0.7799999999999994;0.25156;0.23574;0.17396;0.220555;0.230965;0.18433;0.20077;0.25500999999999996;0.24661;0.20023
-0.7700000000000014;0.25382;0.23070000000000002;0.17129;0.22309;0.23075;0.1901;0.19978;0.25342;0.245965;0.198205
-0.7699999999999996;0.250685;0.22566;0.16862;0.22453499999999998;0.228965;0.188;0.19879;0.255405;0.24532;0.19618
-0.7599999999999998;0.24755;0.22559;0.17026;0.22598;0.22718;0.1859;0.19439;0.25739;0.25136;0.18891
-0.7500000000000018;0.24586999999999998;0.22543000000000002;0.170675;0.2332;0.22379;0.18297000000000002;0.19386;0.259345;0.25305;0.187815
-0.75;0.24419;0.22527;0.17109;0.23591;0.225385;0.18004;0.19333;0.2613;0.25474;0.18672
-0.7400000000000002;0.24188;0.22691;0.1851;0.23862;0.22698;0.17359;0.19032;0.26013;0.25011;0.19076
-0.7300000000000004;0.23735;0.23545;0.19191;0.23698;0.22627;0.17259;0.19405;0.26153;0.24741;0.19872
-0.7200000000000006;0.23402;0.23868;0.1922;0.22719;0.22462;0.17309;0.19885999999999998;0.26676;0.24991;0.198695
-0.7199999999999989;0.23234;0.23836;0.19018333333333334;0.224795;0.22603;0.17331;0.20367;0.26576;0.25038333333333335;0.19867
